rank,word,frequency,cum_pct,region
1,の,0.04455624,4.4556,R1
2,は,0.02669253,7.1249,R1
3,が,0.02266467,9.3913,R1
4,を,0.02052703,11.4440,R1
5,に,0.01745688,13.1897,R1
6,よ,0.01338164,14.5279,R1
7,も,0.01015003,15.5429,R1
8,と,0.01009575,16.5525,R1
9,で,0.00970535,17.5230,R1
10,ね,0.00820377,18.3434,R1
11,か,0.00778908,19.1223,R1
12,って,0.00756994,19.8793,R1
13,だ,0.00713612,20.5929,R1
14,な,0.00707237,21.3001,R1
15,から,0.00677260,21.9774,R1
16,さん,0.00674796,22.6522,R1
17,です,0.00573388,23.2256,R1
18,私,0.00571584,23.7972,R1
19,言う,0.00489474,24.2866,R1
20,はい,0.00422558,24.7092,R1
21,来る,0.00421748,25.1310,R1
22,んだ,0.00404033,25.5350,R1
23,じゃ,0.00400257,25.9352,R1
24,何,0.00360167,26.2954,R1
25,アッ,0.00356077,26.6515,R1
26,思う,0.00348713,27.0002,R1
27,尾,0.00339028,27.3392,R1
28,でも,0.00330719,27.6699,R1
29,ない,0.00324088,27.9940,R1
30,俺,0.00321142,28.3152,R1
31,こと,0.00315568,28.6307,R1
32,ひと,0.00310222,28.9410,R1
33,んです,0.00306912,29.2479,R1
34,この,0.00306287,29.5542,R1
35,要る,0.00299580,29.8537,R1
36,や,0.00298369,30.1521,R1
37,ん,0.00295182,30.4473,R1
38,流,0.00276414,30.7237,R1
39,あの,0.00272060,30.9958,R1
40,けど,0.00271734,31.2675,R1
41,えっ,0.00266805,31.5343,R1
42,事,0.00260327,31.7946,R1
43,分かる,0.00257387,32.0520,R1
44,君,0.00256237,32.3083,R1
45,もう,0.00255198,32.5635,R1
46,嫌,0.00248608,32.8121,R1
47,お前,0.00246396,33.0585,R1
48,鋳る,0.00244911,33.3034,R1
49,あ,0.00233947,33.5373,R1
50,うん,0.00231579,33.7689,R1
51,いい,0.00227055,33.9960,R1
52,ちょっと,0.00221730,34.2177,R1
53,これ,0.00219659,34.4373,R1
54,あなた,0.00217822,34.6552,R1
55,ああ,0.00215055,34.8702,R1
56,鳴る,0.00208551,35.0788,R1
57,その,0.00208363,35.2871,R1
58,照る,0.00207799,35.4949,R1
59,ちゃん,0.00205100,35.7000,R1
60,だから,0.00201817,35.9018,R1
61,ある,0.00200643,36.1025,R1
62,には,0.00194585,36.2971,R1
63,田,0.00190328,36.4874,R1
64,ねえ,0.00190128,36.6775,R1
65,そんな,0.00188180,36.8657,R1
66,よね,0.00188153,37.0539,R1
67,さ,0.00185657,37.2395,R1
68,ください,0.00185627,37.4251,R1
69,わ,0.00185440,37.6106,R1
70,し,0.00181602,37.7922,R1
71,先生,0.00181549,37.9737,R1
72,今,0.00180505,38.1542,R1
73,だけ,0.00168035,38.3223,R1
74,柄,0.00166970,38.4892,R1
75,僕,0.00164338,38.6536,R1
76,何で,0.00164239,38.8178,R1
77,増す,0.00163801,38.9816,R1
78,暮れる,0.00162959,39.1446,R1
79,何か,0.00152470,39.2971,R1
80,そう,0.00146488,39.4435,R1
81,ぞ,0.00145531,39.5891,R1
82,ですか,0.00144270,39.7333,R1
83,なんて,0.00140374,39.8737,R1
84,だって,0.00140197,40.0139,R1
85,なんだ,0.00139130,40.1530,R1
86,て,0.00138032,40.2911,R1
87,じゃあ,0.00137692,40.4288,R1
88,聞く,0.00135207,40.5640,R1
89,知る,0.00134541,40.6985,R1
90,大丈夫,0.00129679,40.8282,R1
91,まで,0.00127288,40.9555,R1
92,反る,0.00127188,41.0827,R1
93,自分,0.00126634,41.2093,R1
94,どう,0.00125795,41.3351,R1
95,待つ,0.00124295,41.4594,R1
96,音,0.00123395,41.5828,R1
97,なら,0.00122828,41.7056,R1
98,のか,0.00122247,41.8279,R1
99,ここ,0.00121027,41.9489,R1
100,へ,0.00121003,42.0699,R1
101,のに,0.00120951,42.1908,R1
102,して,0.00119440,42.3103,R1
103,板,0.00115006,42.4253,R1
104,ー,0.00114798,42.5401,R1
105,だろ,0.00112586,42.6527,R1
106,とか,0.00112331,42.7650,R1
107,擦る,0.00111697,42.8767,R1
108,るん,0.00110896,42.9876,R1
109,とは,0.00110423,43.0980,R1
110,出る,0.00110095,43.2081,R1
111,い,0.00109552,43.3177,R1
112,話,0.00109323,43.4270,R1
113,老いる,0.00106260,43.5333,R1
114,あれ,0.00104007,43.6373,R1
115,みたい,0.00103678,43.7409,R1
116,皆,0.00103042,43.8440,R1
117,年,0.00102907,43.9469,R1
118,立つ,0.00101903,44.0488,R1
119,では,0.00099899,44.1487,R1
120,男,0.00099744,44.2484,R1
121,まだ,0.00098136,44.3466,R1
122,こんな,0.00097479,44.4440,R1
123,仕事,0.00097244,44.5413,R1
124,たい,0.00096443,44.6377,R1
125,違う,0.00095906,44.7336,R1
126,殊,0.00095064,44.8287,R1
127,難,0.00094982,44.9237,R1
128,ありがとう,0.00094926,45.0186,R1
129,時,0.00094668,45.1133,R1
130,かな,0.00094269,45.2075,R1
131,また,0.00094020,45.3016,R1
132,それは,0.00093841,45.3954,R1
133,中,0.00093835,45.4892,R1
134,う,0.00093078,45.5823,R1
135,という,0.00092905,45.6752,R1
136,出す,0.00092394,45.7676,R1
137,母,0.00091502,45.8591,R1
138,本当に,0.00091411,45.9505,R1
139,舌,0.00090821,46.0414,R1
140,吸う,0.00088903,46.1303,R1
141,考える,0.00088683,46.2189,R1
142,ええ,0.00088201,46.3071,R1
143,だと,0.00087711,46.3949,R1
144,でしょ,0.00087166,46.4820,R1
145,死ぬ,0.00086990,46.5690,R1
146,そうだ,0.00085306,46.6543,R1
147,頂く,0.00083610,46.7379,R1
148,担う,0.00083058,46.8210,R1
149,まあ,0.00083014,46.9040,R1
150,語,0.00082020,46.9860,R1
151,内,0.00081395,47.0674,R1
152,もの,0.00080673,47.1481,R1
153,方,0.00080385,47.2285,R1
154,あった,0.00079995,47.3085,R1
155,よう,0.00079966,47.3884,R1
156,病む,0.00079552,47.4680,R1
157,好き,0.00079458,47.5474,R1
158,溶く,0.00078282,47.6257,R1
159,子,0.00078023,47.7037,R1
160,入る,0.00077070,47.7808,R1
161,どこ,0.00076284,47.8571,R1
162,ので,0.00076064,47.9332,R1
163,反,0.00075571,48.0087,R1
164,前,0.00075163,48.0839,R1
165,悪い,0.00074828,48.1587,R1
166,殺す,0.00074784,48.2335,R1
167,誰,0.00073904,48.3074,R1
168,ゆく,0.00073672,48.3811,R1
169,帰る,0.00073564,48.4546,R1
170,女,0.00071862,48.5265,R1
171,食べる,0.00071733,48.5982,R1
172,なんか,0.00071657,48.6699,R1
173,あんた,0.00071448,48.7413,R1
174,家,0.00071363,48.8127,R1
175,みて,0.00070735,48.8834,R1
176,門,0.00070665,48.9541,R1
177,だけど,0.00069805,49.0239,R1
178,ごめん,0.00069075,49.0930,R1
179,本,0.00069063,49.1621,R1
180,一緒に,0.00068682,49.2307,R1
181,として,0.00068661,49.2994,R1
