rank,kanji,weighted_freq,weighted_freq_pct,cum_pct,word_count
1,何,0.008290,1.9408,1.9408,16
2,言,0.006976,1.6333,3.5741,15
3,私,0.006328,1.4816,5.0557,5
4,事,0.005631,1.3183,6.3740,16
5,分,0.005317,1.2447,7.6186,14
6,来,0.004647,1.0878,8.7065,6
7,前,0.004406,1.0315,9.7380,8
8,一,0.004106,0.9613,10.6993,23
9,生,0.004100,0.9600,11.6592,14
10,今,0.003934,0.9210,12.5803,13
11,思,0.003905,0.9142,13.4945,6
12,人,0.003657,0.8562,14.3507,27
13,俺,0.003604,0.8437,15.1944,4
14,要,0.003552,0.8315,16.0259,5
15,大,0.003489,0.8168,16.8427,18
16,尾,0.003390,0.7937,17.6364,1
17,日,0.003374,0.7898,18.4262,19
18,子,0.003258,0.7626,19.1889,27
19,本,0.003224,0.7548,19.9437,17
20,流,0.002946,0.6898,20.6334,4
21,出,0.002895,0.6778,21.3112,11
22,嫌,0.002749,0.6436,21.9548,4
23,君,0.002634,0.6166,22.5714,2
24,鳴,0.002606,0.6101,23.1815,5
25,気,0.002587,0.6056,23.7872,20
26,話,0.002561,0.5996,24.3867,9
27,先,0.002506,0.5868,24.9735,7
28,鋳,0.002449,0.5734,25.5469,1
29,田,0.002435,0.5700,26.1169,9
30,時,0.002370,0.5548,26.6717,10
31,間,0.002361,0.5528,27.2245,14
32,照,0.002164,0.5066,27.7310,2
33,反,0.002134,0.4996,28.2306,4
34,母,0.002131,0.4989,28.7295,8
35,女,0.002112,0.4944,29.2240,6
36,当,0.002015,0.4718,29.6958,9
37,手,0.001917,0.4489,30.1446,14
38,暮,0.001875,0.4390,30.5836,2
39,増,0.001809,0.4235,31.0072,3
40,自,0.001744,0.4084,31.4155,7
41,僕,0.001731,0.4053,31.8208,2
42,全,0.001715,0.4015,32.2223,8
43,知,0.001706,0.3994,32.6217,5
44,柄,0.001670,0.3909,33.0126,1
45,夫,0.001658,0.3881,33.4007,5
46,聞,0.001634,0.3826,33.7834,4
47,長,0.001618,0.3787,34.1621,14
48,父,0.001557,0.3645,34.5266,9
49,音,0.001550,0.3630,34.8896,5
