rank,word,frequency,cum_pct
1,の,0.04455624,4.4556
2,は,0.02669253,7.1249
3,が,0.02266467,9.3913
4,を,0.02052703,11.444
5,に,0.01745688,13.1897
6,よ,0.01338164,14.5279
7,も,0.01015003,15.5429
8,と,0.01009575,16.5525
9,で,0.00970535,17.523
10,ね,0.00820377,18.3434
11,か,0.00778908,19.1223
12,って,0.00756994,19.8793
13,だ,0.00713612,20.5929
14,な,0.00707237,21.3001
15,から,0.0067726,21.9774
16,さん,0.00674796,22.6522
17,です,0.00573388,23.2256
18,私,0.00571584,23.7972
19,言う,0.00489474,24.2866
20,はい,0.00422558,24.7092
21,来る,0.00421748,25.131
22,んだ,0.00404033,25.535
23,じゃ,0.00400257,25.9352
24,何,0.00360167,26.2954
25,アッ,0.00356077,26.6515
26,思う,0.00348713,27.0002
27,尾,0.00339028,27.3392
28,でも,0.00330719,27.6699
29,ない,0.00324088,27.994
30,俺,0.00321142,28.3152
31,こと,0.00315568,28.6307
32,ひと,0.00310222,28.941
33,んです,0.00306912,29.2479
34,この,0.00306287,29.5542
35,要る,0.0029958,29.8537
36,や,0.00298369,30.1521
37,ん,0.00295182,30.4473
38,流,0.00276414,30.7237
39,あの,0.0027206,30.9958
40,けど,0.00271734,31.2675
41,えっ,0.00266805,31.5343
42,事,0.00260327,31.7946
43,分かる,0.00257387,32.052
44,君,0.00256237,32.3083
45,もう,0.00255198,32.5635
46,嫌,0.00248608,32.8121
47,お前,0.00246396,33.0585
48,鋳る,0.00244911,33.3034
49,あ,0.00233947,33.5373
50,うん,0.00231579,33.7689
51,いい,0.00227055,33.996
52,ちょっと,0.0022173,34.2177
53,これ,0.00219659,34.4373
54,あなた,0.00217822,34.6552
55,ああ,0.00215055,34.8702
56,鳴る,0.00208551,35.0788
57,その,0.00208363,35.2871
58,照る,0.00207799,35.4949
59,ちゃん,0.002051,35.7
60,だから,0.00201817,35.9018
61,ある,0.00200643,36.1025
62,には,0.00194585,36.2971
63,田,0.00190328,36.4874
64,ねえ,0.00190128,36.6775
65,そんな,0.0018818,36.8657
66,よね,0.00188153,37.0539
67,さ,0.00185657,37.2395
68,ください,0.00185627,37.4251
69,わ,0.0018544,37.6106
70,し,0.00181602,37.7922
71,先生,0.00181549,37.9737
72,今,0.00180505,38.1542
73,だけ,0.00168035,38.3223
74,柄,0.0016697,38.4892
75,僕,0.00164338,38.6536
76,何で,0.00164239,38.8178
77,増す,0.00163801,38.9816
78,暮れる,0.00162959,39.1446
79,何か,0.0015247,39.2971
80,そう,0.00146488,39.4435
81,ぞ,0.00145531,39.5891
82,ですか,0.0014427,39.7333
83,なんて,0.00140374,39.8737
84,だって,0.00140197,40.0139
85,なんだ,0.0013913,40.153
86,て,0.00138032,40.2911
87,じゃあ,0.00137692,40.4288
88,聞く,0.00135207,40.564
89,知る,0.00134541,40.6985
90,大丈夫,0.00129679,40.8282
91,まで,0.00127288,40.9555
92,反る,0.00127188,41.0827
93,自分,0.00126634,41.2093
94,どう,0.00125795,41.3351
95,待つ,0.00124295,41.4594
96,音,0.00123395,41.5828
97,なら,0.00122828,41.7056
98,のか,0.00122247,41.8279
99,ここ,0.00121027,41.9489
100,へ,0.00121003,42.0699
101,のに,0.00120951,42.1908
102,して,0.0011944,42.3103
103,板,0.00115006,42.4253
104,ー,0.00114798,42.5401
105,だろ,0.00112586,42.6527
106,とか,0.00112331,42.765
107,擦る,0.00111697,42.8767
108,るん,0.00110896,42.9876
109,とは,0.00110423,43.098
110,出る,0.00110095,43.2081
111,い,0.00109552,43.3177
112,話,0.00109323,43.427
113,老いる,0.0010626,43.5333
114,あれ,0.00104007,43.6373
115,みたい,0.00103678,43.7409
116,皆,0.00103042,43.844
117,年,0.00102907,43.9469
118,立つ,0.00101903,44.0488
119,では,0.00099899,44.1487
120,男,0.00099744,44.2484
121,まだ,0.00098136,44.3466
122,こんな,0.00097479,44.444
123,仕事,0.00097244,44.5413
124,たい,0.00096443,44.6377
125,違う,0.00095906,44.7336
126,殊,0.00095064,44.8287
127,難,0.00094982,44.9237
128,ありがとう,0.00094926,45.0186
129,時,0.00094668,45.1133
130,かな,0.00094269,45.2075
131,また,0.0009402,45.3016
132,それは,0.00093841,45.3954
133,中,0.00093835,45.4892
134,う,0.00093078,45.5823
135,という,0.00092905,45.6752
136,出す,0.00092394,45.7676
137,母,0.00091502,45.8591
138,本当に,0.00091411,45.9505
139,舌,0.00090821,46.0414
140,吸う,0.00088903,46.1303
141,考える,0.00088683,46.2189
142,ええ,0.00088201,46.3071
143,だと,0.00087711,46.3949
144,でしょ,0.00087166,46.482
145,死ぬ,0.0008699,46.569
146,そうだ,0.00085306,46.6543
147,頂く,0.0008361,46.7379
148,担う,0.00083058,46.821
149,まあ,0.00083014,46.904
150,語,0.0008202,46.986
151,内,0.00081395,47.0674
152,もの,0.00080673,47.1481
153,方,0.00080385,47.2285
