code,name,family,total,max_cum,r1_size,r2_size,r3_size,r4_size,r5_size,r1_boundary,r2_boundary,r3_boundary,r4_boundary
en,영어,Indo-Eur Germanic,3000,91.6321,154,82,403,2361,0,154,236,639,3000
de,독일어,Indo-Eur Germanic,2500,84.0019,188,98,450,1764,0,188,286,736,2500
es,스페인어,Indo-Eur Romance,2500,91.1532,98,67,408,1927,0,98,165,573,2500
pt,포르투갈,Indo-Eur Romance,2500,77.56269999999924,195,135,583,1587,0,195,330,913,2500
fr,프랑스어,Indo-Eur Romance,2500,86.4041,148,88,444,1820,0,148,236,680,2500
it,이탈리아,Indo-Eur Romance,2500,81.6723,245,118,508,1629,0,245,363,871,2500
ru,러시아어,Indo-Eur Slavic,2500,70.8371,281,140,561,1518,0,281,421,982,2500
hi,힌디어,Indo-Eur Indo-Iran,2500,55.08,229,136,579,1556,0,229,365,944,2500
fa,페르시아,Indo-Eur Indo-Iran,2500,75.55864999999885,415,188,613,1284,0,415,603,1216,2500
zh,중국어,Sino-Tibetan,2500,71.64305999999922,433,183,622,1262,0,433,616,1238,2500
ar,아랍어,Afro-Asiatic,2500,58.7328199999994,498,218,655,1129,0,498,716,1371,2500
id,인도네시,Austronesian,2500,77.02121999999923,341,164,582,1413,0,341,505,1087,2500
vi,베트남어,Austroasiatic,2500,92.88639999999994,365,107,370,1658,0,365,472,842,2500
th,태국어,Tai-Kadai,2500,88.8013,212,116,496,1676,0,212,328,824,2500
tr,터키어,Turkic,2500,56.36966000000032,520,202,623,1155,0,520,722,1345,2500
ja,일본어,Japonic,2500,80.2603,294,143,561,1502,0,294,437,998,2500
ko,한국어,Koreanic,2500,47.9156,649,209,616,1026,0,649,858,1474,2500
