language,code,n,full_cov,R1_end,R2_end,R3_end,R4_end,R1_words,R2_words,R3_words,R4_words
Korean,ko,2500,79.8,205,334,898,2500,205,129,564,1602
English,en,3000,80.1,251,424,1119,2959,251,173,695,1840
Chinese,zh,2500,71.6,681,1006,2186,2500,681,325,1180,314
Hindi,hi,2500,80.9,228,353,866,2276,228,125,513,1410
Spanish,es,2500,77.2,184,341,1094,2500,184,157,753,1406
Arabic,ar,2500,58.7,1850,2500,2500,2500,1850,650,0,0
French,fr,2500,79.3,132,245,822,2500,132,113,577,1678
Portuguese,pt,2500,77.6,234,403,1134,2500,234,169,731,1366
Indonesian,id,2500,77.0,403,603,1349,2500,403,200,746,1151
Russian,ru,2500,60.0,1474,2495,2500,2500,1474,1021,5,0
German,de,2500,73.6,291,513,1638,2500,291,222,1125,862
Japanese,ja,2500,79.0,156,292,937,2500,156,136,645,1563
Vietnamese,vi,2500,92.9,244,307,479,783,244,63,172,304
Turkish,tr,2500,56.4,2218,2500,2500,2500,2218,282,0,0
Persian,fa,2500,75.6,530,775,1626,2500,530,245,851,874
Italian,it,2500,75.9,272,471,1343,2500,272,199,872,1157
Polish,pl,2500,67.2,665,1147,2500,2500,665,482,1353,0
Hungarian,hu,2500,66.1,749,1291,2500,2500,749,542,1209,0
Mongolian,mn,2500,65.6,961,1508,2500,2500,961,547,992,0
Burmese,my,2500,99.3,10,12,17,34,10,2,5,17
